багор,багоръ
вечно,вѣчно
вешать,вѣшать
вешить,вѣшить (разставлять вѣхи)
вёшка,вѣшка
вещать,вѣщать
вещий,вѣщiй
вещь,вещь
веянье,вѣянье
веять,вѣять
взад,взадъ (нарѣчiе)
взаимный,взаимный
взаймы,взаймы
взамен,взамѣнъ
взаперти,взаперти
взаправду,взаправду
взапуски,взапуски
взашей,взашей
взбаламошный,взбаламошный
взбеситься,взбѣситься
взбираться,взбираться
взбудоражить,взбудоражить
взвешивать,взвѣшивать
в звключение,въ заключенiе (нарѣчiе)
взгляд,взглядъ
взгляните-ка,взгляните-ка
взгрустнуться,взгрустнуть
вздор,вздоръ
вздох,вздохъ
вздумать,вздумать
вздыхать,вздыхать
взимать,взимать
взъерошить,взъерошить
взыскать,взыскать
взять,взять
вид,видъ
виден,виденъ
виденный,видѣнный
видеть,видѣть
видимо,видимо
виднеться,виднѣться
видоизменить,видоизмѣнить
видывал,видывалъ
видя,видя
Византии,Византія
византийскому,византійскiй
визг,визгъ
визит,визитъ
Вильно,Вильно
виноват,виноватъ
висеть,висѣть
високосный,високосный
Виссарион,Виссарiонъ
витязь,витязь
Вифания,Виѳанiя
Вифлеем,Виѳлеемъ
вихрь,вихрь
включенный,включенный
вконец,вконецъ (нарѣчiе)
вкопанный,вкопанный (прич.) - всталъ
вкопаный (прилаг.) столб,вкопаный (прилаг.) столбъ
вкось,вкось
вкратце,вкратцѣ
вкривь,вкривь
вкруг,вкругъ
вкрутую,вкрутую
вкупе,вкупѣ
владеть,владѣть
Владимир,Владимиръ и Владимiръ
владыка,владыка
влево,влѣво
влезла,влѣзть
влечения,влеченія
влияние,вліяніе
в меру,въ мѣру
вместе,вмѣстѣ (нарѣчiе)
вместо,вмѣсто (нарѣчiе)
вмешаться,вмѣшаться
вмиг,вмигъ (нарѣчiе)
внаймы,внаймы
в насмешку,въ насмѣшку
вначале,вначалѣ (наречие)
вне,внѣ
внедряться,внѣдряться
внеклассный,внѣклассный
внесенный,внесенный
внеурочный,внѣурочный
внешний,внѣшнiй
вниз,внизъ (нарѣчiе)
внимание,вниманiе
вновь,вновь
внутренно,внутренно
внутри,внутри
внутрь,внутрь
вовек,вовѣкъ
во-время,во-время (нарѣчiе)
вовсе,вовсе (нарѣчiе)
во-вторых,во-вторыхъ
вода,вода
в одиночку,въ одиночку
водоросль,водорасль и водоросль
водяной,водяной
воедино,воедино
военачальник,военачальникъ
военный,военный
вожатый,вожатый и вожатай
вожделение,вожделѣнiе
вожжа,вожжа и возжа
возбуждение,возбужденіе
возвратиться,возвратиться
возгорать,возгорать
возгордиться,возгордиться
возданный,возданный
воздвигнуть,воздвигнуть
воздух,воздухъ
возжённый,возжённый
воззвать,воззвать
воззрение,воззрѣнiе
возле,возлѣ
возложенный,возложенный
возмездие,возмездiе
вознамериться,вознамѣриться
возникать,возникать
возражение,возраженіе
возраст,возрастъ
возрождать,возрождать и возраждать
возстановить,возстановить
возстать,возстать
возчик,возчикъ
возыметь,возымѣть
возьми,возьми
воин,воинъ
воинственность,воинственность
воин-телохранитель,воинъ-тѣлохранитель
воистину,воистину
войти,войти
вокзал,вокзалъ
вокруг,вокругъ
волжский,волжскiй
волнение,волненіе
волокита,волокита
волосной,волосной (относящiйся къ волосамъ)
волосоньки,волосаньки и волосыньки
волостной,волостной (относящiйся къ волости)
воля,воля
воображать,воображать
вообще,вообще
воочию,воочiю
во-первых,во-первыхъ
вопреки,вопреки
вопрос,вопросъ
воришка,воришка
воробей,воробей
воровать,воровать
ворон,воронъ
ворот,воротъ
ворота,ворота
воротиться,воротиться
ворох,ворохъ
ворочаться,ворочаться
ворчать,ворчать
восвояси,во-свояси
восемнадцать,восемнадцать и осьмнадцать
восемьдесят,восемьдесятъ
восемьсот,восемьсотъ
воскликнуть,воскликнуть
воскресенье,Воскресенiе (действiе)
воскрешение,воскрешенiе (отъ глагола воскресить: воскрешенiе Лазаря)
в особенности,въ особенности
воспитанник,воспитанникъ
воспользоваться,воспользоваться
воспользоваться,воспользоваться
восприемник,воспрiемникъ
воспроизводство,воспроизводство
восторг,восторгъ
восторженность,восторженность
восхитительно-приятно,восхитительно-пріятно
восьмеричный,восьмеричный
восьмерка,восьмерка и осьмой
восьмой,восьмой и осьмой
вот-вот,вотъ-вотъ
в отместку,въ отместку
вотчина,вотчина и отчина
вотще,вотще (нарѣчiе - напрасно
вошел,вошелъ
вощаной,вощаной (сдѣланный изъ воску)
впервой,впервой
вперевалку,вперевалку
впереди,впереди
вперемежку,вперемежку (по-перемѣнно
вперемешку (смешанно),вперемѣшку (смѣшанно)
впечатление,впечатлѣніе
вплавь,вплавь
вплотную,вплотную
вплоть,вплоть
в полголоса,въ-полголоса
вполне,вполнѣ
вполовину,вполовину
вполпути,вполпути
вполсыта,вполсыта
впопыхах,впопыхахъ
впору,впору (нарѣчiе - платье какъ разъ впору)
